question_id,pool_size,K,control_gold_hits,submodular_gold_hits,gold_hit_delta,selection_changed,submodular_redundancy
nq_0,15,5,2,2,0,True,0.8541128623045979
nq_1,15,5,2,2,0,True,0.7231898500225277
nq_10,15,5,4,4,0,True,0.7949576893064805
nq_100,15,5,3,3,0,True,0.8360494764035818
nq_101,15,5,2,2,0,True,0.7923239439869783
nq_102,15,5,3,3,0,True,0.7597615634251296
nq_103,15,5,0,0,0,True,0.7852451859106861
nq_104,15,5,1,1,0,True,0.8686048803550269
nq_105,15,5,5,5,0,True,0.7931489693707369
nq_106,15,5,0,0,0,True,0.7688059856294476
nq_107,15,5,0,0,0,True,0.8576747965199193
nq_108,15,5,3,3,0,True,0.8449188994420638
nq_109,15,5,0,0,0,True,0.7176035754780792
nq_11,15,5,3,3,0,True,0.78391841015874
nq_110,15,5,0,0,0,True,0.735735644299725
nq_111,15,5,0,0,0,True,0.8960536862526371
nq_112,15,5,5,5,0,True,0.8413066549164203
nq_113,15,5,2,3,1,True,0.7627766677275436
nq_114,15,5,1,1,0,True,0.8434680062672809
nq_115,15,5,1,1,0,True,0.7076175299502786
nq_116,15,5,5,5,0,True,0.9464443923215109
nq_117,15,5,0,1,1,True,0.856387251186472
nq_118,15,5,0,0,0,True,0.7283334528893339
nq_119,15,5,1,2,1,True,0.8636852077655257
nq_12,15,5,1,1,0,True,0.7706736545523187
nq_120,15,5,2,2,0,True,0.7837387317416865
nq_121,15,5,3,3,0,True,0.8018661542328944
nq_122,15,5,0,0,0,True,0.7727713726849235
nq_123,15,5,1,1,0,True,0.7682593720915349
nq_124,15,5,1,1,0,True,0.6823289729415192
nq_125,15,5,3,3,0,True,0.7853649874657799
nq_126,15,5,1,1,0,True,0.6652558434274194
nq_127,15,5,2,2,0,True,0.7377998458095565
nq_128,15,5,3,3,0,True,0.8616942286140137
nq_129,15,5,2,2,0,True,0.7370344831346167
nq_13,15,5,5,5,0,True,0.8473733470427754
nq_130,15,5,0,0,0,True,0.816334345520449
nq_131,15,5,1,1,0,True,0.8800038128866838
nq_132,15,5,0,0,0,True,0.8171247351908736
nq_133,15,5,1,1,0,True,0.8272279140830274
nq_134,15,5,2,2,0,True,0.8250622533998406
nq_135,15,5,0,0,0,True,0.6389181590582893
nq_136,15,5,1,1,0,True,0.6352372974651959
nq_137,15,5,1,2,1,True,0.7745203457840192
nq_138,15,5,0,0,0,True,0.8073466658349732
nq_139,15,5,0,0,0,True,0.663561494926826
nq_14,15,5,1,1,0,True,0.7461316624162837
nq_140,15,5,2,2,0,True,0.8715623286380101
nq_141,15,5,5,5,0,True,0.8469424092156383
nq_142,15,5,5,5,0,True,0.8491524205466202
nq_143,15,5,2,2,0,True,0.7396299247987199
nq_144,15,5,5,5,0,True,0.8870087509027588
nq_145,15,5,0,0,0,True,0.8182779761026809
nq_146,15,5,3,3,0,True,0.7686012727224678
nq_147,15,5,3,3,0,True,0.7314998945560075
nq_148,15,5,4,4,0,True,0.8889065273481828
nq_149,15,5,2,2,0,True,0.8490293243660301
nq_15,15,5,0,0,0,True,0.6727730841400222
nq_150,15,5,0,0,0,True,0.7805139875577072
nq_151,15,5,2,2,0,True,0.8791730666282416
nq_152,15,5,2,2,0,True,0.8571879021623257
nq_153,15,5,1,1,0,True,0.7144574577853932
