question_id,pool_size,K,control_gold_hits,submodular_gold_hits,gold_hit_delta,selection_changed,submodular_redundancy
nq_0,15,5,2,2,0,True,0.8541128623045979
nq_1,15,5,2,2,0,True,0.7142931833640049
nq_10,15,5,4,4,0,True,0.7721257774419982
nq_100,15,5,3,2,-1,True,0.8041438549410742
nq_101,15,5,2,2,0,True,0.7539550120356822
nq_102,15,5,3,3,0,True,0.7597615634251296
nq_103,15,5,0,0,0,True,0.7577268664444704
nq_104,15,5,1,1,0,True,0.8538066138735825
nq_105,15,5,5,5,0,True,0.7821093550318098
nq_106,15,5,0,0,0,True,0.7688059856294476
nq_107,15,5,0,0,0,True,0.8576747965199193
nq_108,15,5,3,3,0,True,0.8257430318469797
nq_109,15,5,0,0,0,True,0.7007157105963577
nq_11,15,5,3,3,0,True,0.78391841015874
nq_110,15,5,0,0,0,True,0.7357356442997252
nq_111,15,5,0,0,0,True,0.8901095037365003
nq_112,15,5,5,5,0,True,0.8413066549164203
nq_113,15,5,2,2,0,True,0.7257739905714601
nq_114,15,5,1,1,0,True,0.8434680062672809
nq_115,15,5,1,1,0,True,0.7047744556625268
nq_116,15,5,5,5,0,True,0.9332506055254604
nq_117,15,5,0,1,1,True,0.8503167587533434
nq_118,15,5,0,0,0,True,0.7283334528893339
nq_119,15,5,1,2,1,True,0.8099839293795931
nq_12,15,5,1,1,0,True,0.7706736545523187
nq_120,15,5,2,2,0,True,0.7239938710525019
nq_121,15,5,3,3,0,True,0.7792417385228149
nq_122,15,5,0,0,0,True,0.7564144498174485
nq_123,15,5,1,1,0,True,0.7592455142076949
nq_124,15,5,1,1,0,True,0.6442077852313125
nq_125,15,5,3,3,0,True,0.68755546017789
nq_126,15,5,1,1,0,True,0.6652558434274194
nq_127,15,5,2,2,0,True,0.7377998458095565
nq_128,15,5,3,3,0,True,0.8123191957317971
nq_129,15,5,2,2,0,True,0.7370344831346168
nq_13,15,5,5,5,0,True,0.8473733470427754
nq_130,15,5,0,0,0,True,0.7940226502470022
nq_131,15,5,1,1,0,True,0.8652190216258505
nq_132,15,5,0,0,0,True,0.8171247351908736
nq_133,15,5,1,1,0,True,0.8272279140830274
nq_134,15,5,2,2,0,True,0.773066629656953
nq_135,15,5,0,0,0,True,0.6389181590582893
nq_136,15,5,1,1,0,True,0.6352372974651957
nq_137,15,5,1,1,0,True,0.7618146121140696
nq_138,15,5,0,0,0,True,0.777208464312489
nq_139,15,5,0,0,0,True,0.6566471867322841
nq_14,15,5,1,1,0,True,0.7459282568122105
nq_140,15,5,2,2,0,True,0.8715623286380101
nq_141,15,5,5,5,0,True,0.8127217639725293
nq_142,15,5,5,5,0,True,0.8491524205466202
nq_143,15,5,2,1,-1,True,0.7108546798841915
nq_144,15,5,5,5,0,True,0.8870087509027588
nq_145,15,5,0,0,0,True,0.7651819965285322
nq_146,15,5,3,2,-1,True,0.7345762695677486
nq_147,15,5,3,3,0,True,0.7314998945560075
nq_148,15,5,4,3,-1,True,0.8739109744093332
nq_149,15,5,2,1,-1,True,0.8285246645543014
nq_15,15,5,0,0,0,True,0.6727730841400222
nq_150,15,5,0,0,0,True,0.7560419387875472
nq_151,15,5,2,2,0,True,0.8791730666282416
nq_152,15,5,2,2,0,True,0.8571879021623257
nq_153,15,5,1,1,0,True,0.714457457785393
nq_154,15,5,0,0,0,True,0.8810327436942463
nq_155,15,5,0,0,0,True,0.672553034025664
nq_156,15,5,3,3,0,True,0.8825600566606788
nq_157,15,5,3,3,0,True,0.7270359531888193
nq_158,15,5,0,0,0,True,0.666841262445353
nq_159,15,5,0,0,0,True,0.7145377569418241
nq_16,15,5,1,1,0,True,0.7973541831371616
nq_160,15,5,1,1,0,True,0.7405512967891585
nq_161,15,5,1,1,0,True,0.8264623341148317
nq_162,15,5,4,4,0,True,0.7827820481251692
nq_163,15,5,0,0,0,True,0.7001609607152998
nq_164,15,5,2,2,0,True,0.7277034887488416
nq_165,15,5,3,3,0,True,0.7214671432407009
nq_166,15,5,1,1,0,True,0.8010131883613362
nq_167,15,5,2,2,0,True,0.8129930450157558
nq_168,15,5,1,1,0,True,0.8119754660549358
nq_169,15,5,1,1,0,True,0.8489893808726446
