configuration,question_id,recall,precision,redundancy,diversity,em,f1,selection_time_ms,generation_time_ms,retrieval_hit,selected_ranks,gold_ranks,plugin_timing_available,plugin_timing_ms
qore_as_control,nq_0,0.5,0.4,0.8541128623045979,0.14588713769540207,0.0,0.8571428571428571,25.640742999996746,671.2923679999676,True,0;1;25;32;37,0;1;4;38,True,baseline:0.724764
qore_as_control,nq_1,0.3333333333333333,0.4,0.7231898500225278,0.2768101499774722,0.0,0.5714285714285715,11.230619999992086,233.62893600000234,True,1;12;30;43;48,0;1;7;9;14;30,True,baseline:0.193831
qore_as_control,nq_2,0.23076923076923078,0.6,0.6961108830999511,0.30388911690004894,1.0,1.0,11.237081000047056,171.7958680000038,True,0;1;32;37;47,0;1;6;7;16;19;22;23;32;33;35;38;45,True,baseline:0.174178
qore_as_control,nq_3,0.625,1.0,0.8856787463091609,0.11432125369083912,0.0,0.0,11.239492000015616,273.1955849999963,True,4;29;37;45;49,4;6;24;29;37;45;47;49,True,baseline:0.175737
qore_as_control,nq_4,0.4,0.8,0.8538989055969182,0.14610109440308183,0.0,0.8,11.300333000008322,193.14633100003675,True,0;16;26;29;40,0;3;7;16;24;26;27;33;40;47,True,baseline:0.165982
qore_as_control,nq_5,0.0,0.0,0.8888063393982742,0.11119366060172575,0.0,0.0,11.352364000003945,235.35621999997147,True,0;5;8;10;21,19;44,True,baseline:0.174047
qore_as_control,nq_6,0.0,0.0,0.9058967500802556,0.09410324991974439,0.0,0.0,11.5629980000449,254.24737299999833,True,0;3;5;11;12,9;33,True,baseline:0.175371
qore_as_control,nq_7,,0.0,0.9030805196519799,0.09691948034802012,0.0,0.6666666666666666,11.319493999963015,194.2170469999951,False,4;9;34;42;49,,True,baseline:0.175522
qore_as_control,nq_8,,0.0,0.625220254602515,0.37477974539748504,0.0,0.28571428571428575,11.247217999994064,232.90012300003582,False,1;7;18;39;43,,True,baseline:0.171435
qore_as_control,nq_9,,0.0,0.8074523201595352,0.19254767984046484,0.0,0.5,11.385372000006555,175.18272499995646,False,15;19;34;43;48,,True,baseline:0.181189
qore_as_control,nq_10,0.2857142857142857,0.8,0.7949576893064805,0.20504231069351952,1.0,1.0,11.260993000007602,193.72391000001699,True,5;8;11;42;46,0;1;2;3;5;8;9;11;14;17;23;36;39;42,True,baseline:0.174945
qore_as_control,nq_11,0.75,0.6,0.7769646693458949,0.22303533065410508,1.0,1.0,11.22698000000355,214.68083999997134,True,0;3;14;32;37,3;7;14;37,True,baseline:0.177547
qore_as_control,nq_12,0.3333333333333333,0.2,0.7706736545523188,0.22932634544768116,0.0,0.0,11.402379999992718,213.62006099997188,True,0;14;21;29;39,0;1;41,True,baseline:0.172493
qore_as_control,nq_13,0.7142857142857143,1.0,0.8473733470427754,0.15262665295722455,1.0,1.0,11.379019000003154,192.64758500003154,True,0;1;4;5;31,0;1;3;4;5;16;31,True,baseline:0.168782
qore_as_control,nq_14,0.2,0.2,0.7280395526872177,0.27196044731278235,0.0,0.5,11.43037400004232,376.73017500003425,True,10;11;28;31;45,0;1;2;9;11,True,baseline:0.186556
qore_as_control,nq_15,,0.0,0.6727730841400221,0.3272269158599779,0.0,0.0,11.319163999985449,194.70555599997397,False,15;17;18;36;49,,True,baseline:0.167364
qore_as_control,nq_16,0.5,0.2,0.7973541831371616,0.20264581686283845,0.0,0.7499999999999999,11.334293000004436,233.18668399997478,True,5;7;27;43;46,4;27,True,baseline:0.163186
