configuration,question_id,recall,precision,redundancy,diversity,em,f1,selection_time_ms,generation_time_ms,retrieval_hit,selected_ranks,gold_ranks,plugin_timing_available,plugin_timing_ms
qore_as_control,nq_0,0.5,0.4,0.8541128623045979,0.14588713769540207,0.0,0.8571428571428571,25.435902000026545,684.0753000000177,True,0;1;25;32;37,0;1;4;38,True,baseline:0.752570
qore_as_control,nq_1,0.3333333333333333,0.4,0.7231898500225278,0.2768101499774722,0.0,0.5714285714285715,11.452388999998675,236.27578399998583,True,1;12;30;43;48,0;1;7;9;14;30,True,baseline:0.182519
qore_as_control,nq_2,0.23076923076923078,0.6,0.6961108830999511,0.30388911690004894,1.0,1.0,11.463698000000022,174.22483300003933,True,0;1;32;37;47,0;1;6;7;16;19;22;23;32;33;35;38;45,True,baseline:0.179237
qore_as_control,nq_3,0.625,1.0,0.8856787463091609,0.11432125369083912,0.0,0.0,11.30142300002035,276.86284700001806,True,4;29;37;45;49,4;6;24;29;37;45;47;49,True,baseline:0.177928
qore_as_control,nq_4,0.4,0.8,0.8538989055969182,0.14610109440308183,0.0,0.8,11.418956999989405,194.87439300002052,True,0;16;26;29;40,0;3;7;16;24;26;27;33;40;47,True,baseline:0.176639
qore_as_control,nq_5,0.0,0.0,0.8888063393982742,0.11119366060172575,0.0,0.0,11.601394000024357,238.91151800000898,True,0;5;8;10;21,19;44,True,baseline:0.177040
qore_as_control,nq_6,0.0,0.0,0.9058967500802556,0.09410324991974439,0.0,0.0,11.478153999973983,258.31280500000275,True,0;3;5;11;12,9;33,True,baseline:0.186464
qore_as_control,nq_7,,0.0,0.9030805196519799,0.09691948034802012,0.0,0.6666666666666666,11.743145000025379,198.12191500000154,False,4;9;34;42;49,,True,baseline:0.209037
qore_as_control,nq_8,,0.0,0.625220254602515,0.37477974539748504,0.0,0.28571428571428575,11.377084000002924,236.64497200002188,False,1;7;18;39;43,,True,baseline:0.187254
qore_as_control,nq_9,,0.0,0.8074523201595352,0.19254767984046484,0.0,0.5,11.197602999970968,178.96488299999191,False,15;19;34;43;48,,True,baseline:0.185156
qore_as_control,nq_10,0.2857142857142857,0.8,0.7949576893064805,0.20504231069351952,1.0,1.0,11.179512000012437,195.4874010000367,True,5;8;11;42;46,0;1;2;3;5;8;9;11;14;17;23;36;39;42,True,baseline:0.161692
qore_as_control,nq_11,0.75,0.6,0.7769646693458949,0.22303533065410508,1.0,1.0,11.77210000003015,220.79534400000966,True,0;3;14;32;37,3;7;14;37,True,baseline:0.182326
qore_as_control,nq_12,0.3333333333333333,0.2,0.7706736545523188,0.22932634544768116,0.0,0.0,11.594994999995833,220.02901000001884,True,0;14;21;29;39,0;1;41,True,baseline:0.164790
qore_as_control,nq_13,0.7142857142857143,1.0,0.8473733470427754,0.15262665295722455,1.0,1.0,11.762167000028967,198.8080130000185,True,0;1;4;5;31,0;1;3;4;5;16;31,True,baseline:0.165798
qore_as_control,nq_14,0.2,0.2,0.7280395526872177,0.27196044731278235,0.0,0.5,12.530664999985675,382.0369549999896,True,10;11;28;31;45,0;1;2;9;11,True,baseline:0.181440
qore_as_control,nq_15,,0.0,0.6727730841400221,0.3272269158599779,0.0,0.0,11.309219999986908,196.9323670000449,False,15;17;18;36;49,,True,baseline:0.173634
qore_as_control,nq_16,0.5,0.2,0.7973541831371616,0.20264581686283845,0.0,0.7499999999999999,11.190578000025653,237.6170709999883,True,5;7;27;43;46,4;27,True,baseline:0.157092
qore_as_control,nq_17,0.2,0.2,0.8234791843263715,0.17652081567362854,1.0,1.0,11.241623000046275,194.94281900000487,True,1;13;20;22;29,8;12;22;27;28,True,baseline:0.153933
qore_as_control,nq_18,0.05263157894736842,0.2,0.8053153524811634,0.19468464751883663,0.0,0.5,11.138557999970544,194.895383999949,True,3;10;18;34;41,0;1;2;4;5;6;7;10;16;17;20;22;25;27;33;36;37;43;49,True,baseline:0.158590
qore_as_control,nq_19,0.2,1.0,0.7832095675627189,0.21679043243728113,0.0,0.0,11.125698999990163,197.7429649999749,True,0;9;11;18;27,0;1;2;3;4;5;6;8;9;11;12;13;15;17;18;21;23;27;31;32;36;43;45;47;49,True,baseline:0.157680
qore_as_control,nq_20,0.5,0.4,0.8389580345605078,0.16104196543949223,0.0,0.0,11.231643000030544,237.52295700001014,True,0;6;9;30;42,0;21;42;48,True,baseline:0.155690
