eta,question_id,pool_size,K,relevance_margin,pool_cohesion,delta_q,selected_ranks,gold_pool,gold_hits,recall,redundancy,energy
0.0,nq_0,15,5,0.022559809893812233,0.8450469552010301,0.0,0;1;25;32;37,True,2,0.5,0.8541128623045979,-50.38078091846491
0.05,nq_0,15,5,0.022559809893812233,0.8450469552010301,0.00033370606003722944,0;1;25;32;37,True,2,0.5,0.8541128623045979,-50.37793069208382
0.1,nq_0,15,5,0.022559809893812233,0.8450469552010301,0.0006674121200744589,0;1;25;32;37,True,2,0.5,0.8541128623045979,-50.37508046570276
0.25,nq_0,15,5,0.022559809893812233,0.8450469552010301,0.001668530300186147,0;1;25;32;37,True,2,0.5,0.8541128623045979,-50.36652978655955
0.5,nq_0,15,5,0.022559809893812233,0.8450469552010301,0.003337060600372294,0;1;25;32;37,True,2,0.5,0.8541128623045979,-50.35227865465423
1.0,nq_0,15,5,0.022559809893812233,0.8450469552010301,0.006674121200744588,0;1;25;32;37,True,2,0.5,0.8541128623045979,-50.32377639084354
2.0,nq_0,15,5,0.022559809893812233,0.8450469552010301,0.013348242401489177,0;1;25;32;37,True,2,0.5,0.8541128623045979,-50.26677186322218
4.0,nq_0,15,5,0.022559809893812233,0.8450469552010301,0.026696484802978353,0;1;25;32;37,True,2,0.5,0.8541128623045979,-50.15276280797946
0.0,nq_1,15,5,0.0018732654371248492,0.8002189231544901,0.0,1;12;30;43;48,True,2,0.3333333333333333,0.7231898500225278,-51.33796185166486
0.05,nq_1,15,5,0.0018732654371248492,0.8002189231544901,2.9261728290586397e-05,1;12;30;43;48,True,2,0.3333333333333333,0.7231898500225278,-51.33775023381591
0.1,nq_1,15,5,0.0018732654371248492,0.8002189231544901,5.8523456581172794e-05,1;12;30;43;48,True,2,0.3333333333333333,0.7231898500225278,-51.33753861596698
0.25,nq_1,15,5,0.0018732654371248492,0.8002189231544901,0.00014630864145293197,1;12;30;43;48,True,2,0.3333333333333333,0.7231898500225278,-51.33690376242017
0.5,nq_1,15,5,0.0018732654371248492,0.8002189231544901,0.00029261728290586394,1;12;30;43;48,True,2,0.3333333333333333,0.7231898500225278,-51.33584567317547
1.0,nq_1,15,5,0.0018732654371248492,0.8002189231544901,0.0005852345658117279,1;12;30;43;48,True,2,0.3333333333333333,0.7231898500225278,-51.33372949468608
2.0,nq_1,15,5,0.0018732654371248492,0.8002189231544901,0.0011704691316234558,1;12;30;43;48,True,2,0.3333333333333333,0.7231898500225278,-51.32949713770731
4.0,nq_1,15,5,0.0018732654371248492,0.8002189231544901,0.0023409382632469116,1;12;30;43;48,True,2,0.3333333333333333,0.7231898500225278,-51.321032423749756
0.0,nq_10,15,5,0.018407105382471922,0.7733554057865185,0.0,5;8;11;42;46,True,4,0.2857142857142857,0.7949576893064805,-49.774031804351736
0.05,nq_10,15,5,0.018407105382471922,0.7733554057865185,0.0002975197665129498,5;8;11;42;46,True,4,0.2857142857142857,0.7949576893064805,-49.77166664809063
0.1,nq_10,15,5,0.018407105382471922,0.7733554057865185,0.0005950395330258996,5;8;11;42;46,True,4,0.2857142857142857,0.7949576893064805,-49.76930149182953
0.25,nq_10,15,5,0.018407105382471922,0.7733554057865185,0.0014875988325647488,5;8;11;42;46,True,4,0.2857142857142857,0.7949576893064805,-49.762206023046225
0.5,nq_10,15,5,0.018407105382471922,0.7733554057865185,0.0029751976651294977,5;8;11;42;46,True,4,0.2857142857142857,0.7949576893064805,-49.75038024174072
1.0,nq_10,15,5,0.018407105382471922,0.7733554057865185,0.005950395330258995,5;8;11;42;46,True,4,0.2857142857142857,0.7949576893064805,-49.7267286791297
2.0,nq_10,15,5,0.018407105382471922,0.7733554057865185,0.01190079066051799,5;8;11;42;46,True,4,0.2857142857142857,0.7949576893064805,-49.67942555390768
