configuration,question_id,plugin,mode,elapsed_ms,input_norm,output_norm,delta_norm
qore_as_control,nq_0,baseline,replace,0.80568900000344,0.0,6.135808830193063,6.135808830193063
qore_as_control,nq_1,baseline,replace,0.17685299997083348,0.0,5.8207139294233725,5.8207139294233725
qore_as_control,nq_2,baseline,replace,0.1682030000438317,0.0,4.985848299416998,4.985848299416998
qore_as_control,nq_3,baseline,replace,0.1601889999847117,0.0,6.366249080164166,6.366249080164166
qore_as_control,nq_4,baseline,replace,0.15624200000274868,0.0,6.257234247101976,6.257234247101976
qore_as_control,nq_5,baseline,replace,0.15149199998631957,0.0,6.2221211342846585,6.2221211342846585
qore_as_control,nq_6,baseline,replace,0.15331899999182497,0.0,6.429793569840613,6.429793569840613
qore_as_control,nq_7,baseline,replace,0.1473899999382411,0.0,6.5417899531358,6.5417899531358
qore_as_control,nq_8,baseline,replace,0.14746600004400534,0.0,5.248143031930132,5.248143031930132
qore_as_control,nq_9,baseline,replace,0.14838799995686713,0.0,5.830538597290635,5.830538597290635
qore_as_control,nq_10,baseline,replace,0.16113700007736043,0.0,5.61350215180187,5.61350215180187
qore_as_control,nq_11,baseline,replace,0.1479869999911898,0.0,5.445326270857907,5.445326270857907
qore_as_control,nq_12,baseline,replace,0.14864699994632247,0.0,5.7230596058062995,5.7230596058062995
qore_as_control,nq_13,baseline,replace,0.15277600004992564,0.0,5.38532500493756,5.38532500493756
qore_as_control,nq_14,baseline,replace,0.14551200001733378,0.0,5.922827625359093,5.922827625359093
qore_as_control,nq_15,baseline,replace,0.14663399997516535,0.0,5.047601970788997,5.047601970788997
qore_as_control,nq_16,baseline,replace,0.15230499991503166,0.0,5.896591290936628,5.896591290936628
qore_as_control,nq_17,baseline,replace,0.14475200009655964,0.0,5.8548127858504815,5.8548127858504815
qore_as_control,nq_18,baseline,replace,0.15004700003373728,0.0,5.912317829364883,5.912317829364883
qore_as_control,nq_19,baseline,replace,0.14892000001509587,0.0,5.840914612997901,5.840914612997901
qore_as_control,nq_20,baseline,replace,0.16210000001137814,0.0,6.226407562629137,6.226407562629137
qore_as_control,nq_21,baseline,replace,0.14951499997550854,0.0,4.885628708346163,4.885628708346163
qore_as_control,nq_22,baseline,replace,0.14525699998557684,0.0,5.620821355351026,5.620821355351026
qore_as_control,nq_23,baseline,replace,0.14813799998592003,0.0,6.068042958769134,6.068042958769134
qore_as_control,nq_24,baseline,replace,0.14522000003580615,0.0,5.893169056342089,5.893169056342089
qore_as_control,nq_25,baseline,replace,0.14526400002523587,0.0,5.848764153441528,5.848764153441528
qore_as_control,nq_26,baseline,replace,0.16295000000354776,0.0,4.986708096822563,4.986708096822563
qore_as_control,nq_27,baseline,replace,0.14831199996478972,0.0,4.915882879307239,4.915882879307239
qore_as_control,nq_28,baseline,replace,0.16277400004582887,0.0,6.204271475393632,6.204271475393632
qore_as_control,nq_29,baseline,replace,0.14560199997504242,0.0,6.285324306884681,6.285324306884681
qore_as_control,nq_30,baseline,replace,0.14623799995661102,0.0,5.809781813109233,5.809781813109233
qore_as_control,nq_31,baseline,replace,0.15400699999190692,0.0,5.524472587342014,5.524472587342014
qore_as_control,nq_32,baseline,replace,0.14726199992765032,0.0,5.862571017357121,5.862571017357121
qore_as_control,nq_33,baseline,replace,0.15312400000766502,0.0,4.867174175356701,4.867174175356701
qore_as_control,nq_34,baseline,replace,0.15302700001029734,0.0,6.024542786201981,6.024542786201981
qore_as_control,nq_35,baseline,replace,0.15477900001314993,0.0,5.934870435840898,5.934870435840898
qore_as_control,nq_36,baseline,replace,0.18682699999317265,0.0,5.9710915868958025,5.9710915868958025
qore_as_control,nq_37,baseline,replace,0.1473199999963981,0.0,5.310261010857203,5.310261010857203
qore_as_control,nq_38,baseline,replace,0.15043600001263258,0.0,6.1879849319810445,6.1879849319810445
qore_as_control,nq_39,baseline,replace,0.1488999999992302,0.0,6.259572322917376,6.259572322917376
qore_as_control,nq_40,baseline,replace,0.17081900000448513,0.0,6.329407904109478,6.329407904109478
qore_as_control,nq_41,baseline,replace,0.17490599998382095,0.0,5.956386929958668,5.956386929958668
qore_as_control,nq_42,baseline,replace,0.16365600004064618,0.0,5.977592187833619,5.977592187833619
qore_as_control,nq_43,baseline,replace,0.1518530000339524,0.0,5.284580059143323,5.284580059143323
qore_as_control,nq_44,baseline,replace,0.147430999959397,0.0,6.459046566808221,6.459046566808221
qore_as_control,nq_45,baseline,replace,0.1644769999984419,0.0,6.500309157820785,6.500309157820785
qore_as_control,nq_46,baseline,replace,0.14888300006532518,0.0,6.440333425710759,6.440333425710759
qore_as_control,nq_47,baseline,replace,0.16354799993223423,0.0,6.43050661302621,6.43050661302621
qore_as_control,nq_48,baseline,replace,0.16689599999608618,0.0,5.689040768553662,5.689040768553662
qore_as_control,nq_49,baseline,replace,0.14434799993523484,0.0,5.965389555261214,5.965389555261214
qore_as_control,nq_50,baseline,replace,0.14556700000412093,0.0,5.95899262124213,5.95899262124213
qore_as_control,nq_51,baseline,replace,0.14880200001243793,0.0,6.2589058593588005,6.2589058593588005
qore_as_control,nq_52,baseline,replace,0.14802500004407193,0.0,5.232513582918393,5.232513582918393
qore_as_control,nq_53,baseline,replace,0.14986100006808556,0.0,5.628307831702974,5.628307831702974
qore_as_control,nq_54,baseline,replace,0.14789099998324673,0.0,6.359158170915616,6.359158170915616
qore_as_control,nq_55,baseline,replace,0.14048199989247223,0.0,6.073268305575337,6.073268305575337
qore_as_control,nq_56,baseline,replace,0.1454509999803122,0.0,5.667359552098026,5.667359552098026
qore_as_control,nq_57,baseline,replace,0.1483009999674323,0.0,5.451666440727039,5.451666440727039
qore_as_control,nq_58,baseline,replace,0.14710099992498726,0.0,4.7917350813490485,4.7917350813490485
qore_as_control,nq_59,baseline,replace,0.14927999995961727,0.0,5.0192777604843375,5.0192777604843375
qore_as_control,nq_60,baseline,replace,0.15493099999730475,0.0,5.621649036526739,5.621649036526739
qore_as_control,nq_61,baseline,replace,0.14362700005676743,0.0,5.733022785103862,5.733022785103862
qore_as_control,nq_62,baseline,replace,0.14659099997516023,0.0,6.130161899853848,6.130161899853848
qore_as_control,nq_63,baseline,replace,0.1588540000057037,0.0,5.991376511662055,5.991376511662055
qore_as_control,nq_64,baseline,replace,0.1601559999926394,0.0,6.124354648432591,6.124354648432591
qore_as_control,nq_65,baseline,replace,0.15020600005755114,0.0,6.430030214288235,6.430030214288235
qore_as_control,nq_66,baseline,replace,0.1750689999653332,0.0,6.0519748753747376,6.0519748753747376
qore_as_control,nq_67,baseline,replace,0.1521940000657196,0.0,5.267053446905721,5.267053446905721
qore_as_control,nq_68,baseline,replace,0.14971999996760132,0.0,6.198715389050904,6.198715389050904
qore_as_control,nq_69,baseline,replace,0.15148900001804577,0.0,5.001311938666666,5.001311938666666
qore_as_control,nq_70,baseline,replace,0.15300600000500708,0.0,5.609079097793744,5.609079097793744
qore_as_control,nq_71,baseline,replace,0.14979100001255574,0.0,6.488059884595345,6.488059884595345
qore_as_control,nq_72,baseline,replace,0.1660589999801232,0.0,5.423475086890199,5.423475086890199
qore_as_control,nq_73,baseline,replace,0.16556799994305038,0.0,5.053347710062351,5.053347710062351
qore_as_control,nq_74,baseline,replace,0.17834300001595693,0.0,5.68440543372787,5.68440543372787
qore_as_control,nq_75,baseline,replace,0.1682700000174009,0.0,5.490448801502913,5.490448801502913
