question_id,pool_size,K,control_gold_hits,spectral_dpp_gold_hits,gold_hit_delta,selection_changed,spectral_dpp_redundancy
nq_0,15,5,2,2,0,True,0.8491725611219841
nq_1,15,5,2,2,0,True,0.7142931833640049
nq_10,15,5,4,4,0,True,0.7507138968255039
nq_100,15,5,3,2,-1,True,0.8101358979103521
nq_101,15,5,2,1,-1,True,0.7250334926117687
nq_102,15,5,3,2,-1,True,0.7615072866378633
nq_103,15,5,0,0,0,True,0.7472716366233597
nq_104,15,5,1,1,0,True,0.8538066138735825
nq_105,15,5,5,5,0,True,0.7821093550318098
nq_106,15,5,0,0,0,True,0.7577735969844592
nq_107,15,5,0,0,0,True,0.8240030978290104
nq_108,15,5,3,2,-1,True,0.7932502087897604
nq_109,15,5,0,0,0,True,0.7007157105963577
nq_11,15,5,3,2,-1,True,0.7413214790673996
nq_110,15,5,0,0,0,True,0.7357356442997252
nq_111,15,5,0,0,0,True,0.8942871547186068
nq_112,15,5,5,5,0,True,0.8413066549164203
nq_113,15,5,2,1,-1,True,0.6443673740833523
nq_114,15,5,1,0,-1,True,0.8171934528052411
nq_115,15,5,1,1,0,True,0.7117201634109267
nq_116,15,5,5,4,-1,True,0.8801094884456804
nq_117,15,5,0,1,1,True,0.8553135114732623
nq_118,15,5,0,0,0,True,0.649677285600896
nq_119,15,5,1,2,1,True,0.8065227651611988
nq_12,15,5,1,1,0,True,0.7423995767279863
nq_120,15,5,2,2,0,True,0.7239938710525019
nq_121,15,5,3,2,-1,True,0.7565990013708971
nq_122,15,5,0,0,0,True,0.7578908980136464
nq_123,15,5,1,1,0,True,0.7669353862106378
nq_124,15,5,1,1,0,True,0.6442077852313124
nq_125,15,5,3,3,0,True,0.68755546017789
nq_126,15,5,1,1,0,True,0.6652558434274194
nq_127,15,5,2,1,-1,True,0.7094344339171009
nq_128,15,5,3,3,0,True,0.7775292611044683
nq_129,15,5,2,2,0,True,0.7370344831346167
nq_13,15,5,5,4,-1,True,0.7689501632303796
nq_130,15,5,0,0,0,True,0.7731862288583823
nq_131,15,5,1,0,-1,True,0.8632015637239239
nq_132,15,5,0,0,0,True,0.8171247351908736
nq_133,15,5,1,1,0,True,0.8272279140830273
nq_134,15,5,2,2,0,True,0.773066629656953
nq_135,15,5,0,0,0,True,0.6234947085942574
nq_136,15,5,1,0,-1,True,0.6175071838214059
nq_137,15,5,1,1,0,True,0.7524904793872806
nq_138,15,5,0,0,0,True,0.7703682860236638
nq_139,15,5,0,0,0,True,0.6529738307821153
nq_14,15,5,1,1,0,True,0.7459282568122105
nq_140,15,5,2,1,-1,True,0.858927875912111
nq_141,15,5,5,4,-1,True,0.801112903059569
nq_142,15,5,5,5,0,True,0.8491524205466201
nq_143,15,5,2,1,-1,True,0.708813115971609
nq_144,15,5,5,5,0,True,0.8863741331445676
nq_145,15,5,0,0,0,True,0.7391245586585206
nq_146,15,5,3,2,-1,True,0.7410204279788902
nq_147,15,5,3,3,0,True,0.7335859786977075
nq_148,15,5,4,3,-1,True,0.862109196165471
nq_149,15,5,2,1,-1,True,0.8285246645543014
